id,title,author
1,"The Warriors","Lindsay, Anna Robertson Brown"
2,"A Voyage to the Moon","George Tucker"
3,"La Fiammetta","Giovanni Boccaccio"
4,"The Mystery","Stewart Edward White and Samuel Hopkins Adams"
5,"Wild Northern Scenes","S. H. Hammond"
6,"The Mountains of California","John Muir"
7,"Punchinello, Vol. 1, No. 18, July 30, 1870",Various
8,"Punchinello, Vol. 1, No. 19, August 6, 1870",Various
9,"Punchinello Vol. 1, No. 21, August 20, 1870",Various
10,"Punchinello, Vol. 1, No. 23,  September 3, 1870",Various
11,"Punchinello, Vol. 1, No. 5,  April 30, 1870",Various
12,"Punchinello, Vol. 1, No. 22, August 27, 1870",Various
13,"The Strand Magazine: Volume VII, Issue 37. January, 1894.","Edited by George Newnes"
14,"There's Pippins And Cheese To Come","Charles S. Brooks"
15,"Beneath the Banner","F. J. Cross"
16,"Gaslight Sonatas","Fannie  Hurst"
17,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various
18,"Spalding's Official Baseball Guide - 1913",Unknown
19,"The Life of Hon. William F. Cody","William F. Cody"
20,"Punchinello, Vol. 1, No. 24, September 10, 1870",Various
21,"Punchinello, Vol. 1, No. 25, September 17, 1870",Various
22,"Punchinello, Vol. 1, No. 26, September 24, 1870",Various
23,"Punchinello, Vol. 2, No. 27, October 1, 1870",Various
24,"Punchinello Vol. 2, No. 28, October 8, 1870",Various
25,"A Beautiful Possibility","Edith Ferguson Black"
26,"The Magnetic North","Elizabeth Robins (C. E. Raimond)"
27,"The Works of Aphra Behn, Vol. III","Aphra Behn"
28,"The Rivet in Grandfather's Neck","James Branch Cabell"
29,"The Child Under Eight","E.R. Murray and Henrietta Brown Smith"
30,"Klondyke Nuggets","Joseph Ladue"
31,"Salute to Adventurers","John Buchan"
32,"Punchinello, Vol. 2, No. 29, October 15, 1870",Various
33,Hell,"Dante Alighieri"
34,"Chinese Literature",Anonymous
35,"Aunt Jane's Nieces on Vacation","Edith Van Dyne"
36,Discourses,"Thomas H. Huxley"
37,"The Iron Game","Henry Francis Keenan"
38,"The Constitution of the United States","James M. Beck"
39,"The Mystery Of The Boule Cabinet","Burton Egbert Stevenson"
40,"The Power and the Glory","Grace MacGowan Cooke"
41,"The Divine Comedy of Dante:  Paradise","Dante Alighieri"
42,"The Century Vocabulary Builder","Creever & Bachelor"
43,"Lister's Great Adventure","Harold Bindloss"
44,"The Atlantic Monthly, Volume 10, Number 60, October 1862",Various
45,"Plain Words From America","Douglas W. Johnson"
46,"The Atlantic Monthly, Volume 2, Number 9, July, 1858",Various
47,"Mobilizing Woman-Power","Harriot Stanton Blatch"
48,"The Hampstead Mystery","John R. Watson"
49,Kazan,"James Oliver Curwood"
50,Thaumaturgia,"An Oxonian"
51,"Peaceless Europe","Francesco Saverio Nitti"
52,"A Soldier of Virginia","Burton Egbert Stevenson"
53,"The Twilight of the Gods, and Other Tales","Richard Garnett"
54,"Hacker Crackdown","Bruce Sterling"
55,Byron,"John Nichol"
56,"Punchinello, Vol. 2., No. 32,  November 5, 1870",Various
57,"The Unspeakable Gentleman","John P. Marquand"
58,"The Postmaster's Daughter","Louis Tracy"
59,"Boys and girls from Thackeray","Kate Dickinson Sweetser"
60,"Aunt Jane's Nieces and Uncle John","Edith Van Dyne"
61,"Abducted to Oz","Bob Evans and Chris Dulabone"
62,"John Wesley, Jr.","Dan B. Brummitt"
63,"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",Various
64,"The Lure of the Dim Trails","by (AKA B. M. Sinclair) B. M. Bower"
65,"A Discourse on the Life, Character and Writings of Gulian Crommelin","William Cullen Bryant"
66,"Reminiscences of Pioneer Days in St. Paul","Frank Moore"
67,"America's War for Humanity","Thomas Herbert Russell"
68,"The Merry Adventures of Robin Hood","Howard Pyle"
69,"Home as Found","James Fenimore Cooper"
70,"The Oregon Trail","Francis Parkman, Jr."
71,"The Great Events by Famous Historians, Volume 5",Various
72,"The Black Creek Stopping-House","Nellie McClung"
73,"The Tragedy of Pudd'nhead Wilson","Mark Twain (Samuel Clemens)"
74,"The Congo and Other Poems","Vachel Lindsay"
75,"Purple Springs","Nellie L. McClung"
76,"Our Little Alaskan Cousin","Mary F. Nixon-Roulet"
77,"Bleak House","Charles Dickens"
78,"The Wrecker","Robert Louis Stevenson and Lloyd Osbourne"
79,"The Lone Star Ranger","Zane Grey"
80,"The Night-Born","Jack London"
81,"Around the World in 80 Days","Jules Verne"
82,"Roy Blakeley's Adventures in Camp","Percy Keese Fitzhugh"
83,"The Rover Boys at College","Edward Stratemeyer"
84,Fruitfulness,"Emile Zola"
85,"The Works of Charles and Mary Lamb, Volume 2","Charles Lamb"
86,"Domestic Manners of the Americans","Fanny Trollope"
87,"The Man Against the Sky","Edwin Arlington Robinson"
88,"The Works of Samuel Johnson, Vol. 10.","Samuel Johnson"
89,"Travels in Morocco, Vol. 1.","James Richardson"
90,"Travels in Morocco, Vol. 2.","James Richardson"
91,"The Boss of Little Arcady","Harry Leon Wilson"
92,"Aunt Jane's Nieces at Millville","Edith Van Dyne"
93,"Joe Wilson and His Mates","Henry Lawson"
94,"Sketches of the East Africa Campaign","Robert Valentine Dolbey"
95,"Freedom's Battle","Mahatma Gandhi"
