id,title,author,cities
1,"﻿The Warriors","Lindsay, Anna Robertson Brown","2490,21921"
2,"A Voyage to the Moon","George Tucker","22827,22827"
3,"La Fiammetta","Giovanni Boccaccio",144
4,"The Mystery","Stewart Edward White and Samuel Hopkins Adams","239,239,239,239,5852,239,20078,21519"
5,"Wild Northern Scenes","S. H. Hammond","21329,21329,21329,21329,21329"
6,"The Mountains of California","John Muir","20078,239,23019,2561,239,20078,23019,23019,23019,23019,20078,23019,23019,23019,1601,239,4045,22455,4045,5727,22579,15646,22455,22455,4045,20947,228,3857,22565,22455,239,239,15664,15664,1169,22579,23019"
7,"Punchinello, Vol. 1, No. 18, July 30, 1870",Various,"21921,21149,239"
8,"Punchinello, Vol. 1, No. 19, August 6, 1870",Various,"21921,21149,21190,21726"
9,"Punchinello Vol. 1, No. 21, August 20, 1870",Various,"21921,21149,21149,21726"
10,"Punchinello, Vol. 1, No. 23,  September 3, 1870",Various,"21921,21921,21857,21921,21726"
11,"Punchinello, Vol. 1, No. 5,  April 30, 1870",Various,239
12,"Punchinello, Vol. 1, No. 22, August 27, 1870",Various,"21921,21921,21732,21732,21921,21726"
13,"The Strand Magazine: Volume VII, Issue 37. January, 1894.","Edited by George Newnes","15135,15135,7784"
14,"There's Pippins And Cheese To Come","Charles S. Brooks","22063,21921"
15,"Beneath the Banner","F. J. Cross","23613,23613,23613,23650"
16,"Gaslight Sonatas","Fannie  Hurst","21896,21896,21196,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,20681,19986,19986,21993,2576,20261"
17,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various,21651
18,"Spalding's Official Baseball Guide - 1913",Unknown,"21921,4045,239,8334,2870,2870,20430,20430,2870,20430,2870,20430,20430,21921,21363"
19,"The Life of Hon. William F. Cody","William F. Cody","22808,22808,22808,23080,22808,19986,22808,20356,22808,22808,20356,22840,20078,20541,20357,20356,22720,21194,21194,22648,21194,21194,22648,21194,22720,22648,21194,21194,21194,21194,21194,21194,22808,22808,2490,22808,22808,22808,239,22808,21672,22808,239,22808,22808,22808,22808,22808,22808,22808,22888,21149,22808"
20,"Punchinello, Vol. 1, No. 24, September 10, 1870",Various,"21921,21921,21732,21732,21726"
21,"Punchinello, Vol. 1, No. 25, September 17, 1870",Various,"21921,239,21732,21732,21726"
22,"Punchinello, Vol. 1, No. 26, September 24, 1870",Various,"21921,21921,21921,20373,21726"
23,"Punchinello, Vol. 2, No. 27, October 1, 1870",Various,"21921,21519,21969,21726"
24,"Punchinello Vol. 2, No. 28, October 8, 1870",Various,"21921,21732,21985"
25,"A Beautiful Possibility","Edith Ferguson Black","20430,22641"
26,"The Magnetic North","Elizabeth Robins (C. E. Raimond)","239,20078,20357,239,239,239,239,239,239,19983,21666,239,239,239,20078"
27,"The Works of Aphra Behn, Vol. III","Aphra Behn","15879,15879,15879"
28,"The Rivet in Grandfather's Neck","James Branch Cabell","21921,20430,239"
29,"The Child Under Eight","E.R. Murray and Henrietta Brown Smith","239,239"
30,"Klondyke Nuggets","Joseph Ladue","21921,19985,23459,23459,239,239,23459,23459,23459,23459,23459,23459,21740"
31,"Salute to Adventurers","John Buchan",22720
32,"Punchinello, Vol. 2, No. 29, October 15, 1870",Various,21921
33,Hell,"Dante Alighieri",2538
34,"Chinese Literature",Anonymous,21918
35,"Aunt Jane's Nieces on Vacation","Edith Van Dyne",2514
36,Discourses,"Thomas H. Huxley",21651
37,"The Iron Game","Henry Francis Keenan","1405,21716,21716,20430,21071,20430"
38,"The Constitution of the United States","James M. Beck","20321,20321,21651"
39,"The Mystery Of The Boule Cabinet","Burton Egbert Stevenson",21820
40,"The Power and the Glory","Grace MacGowan Cooke","20045,20045,20045"
41,"The Divine Comedy of Dante:  Paradise","Dante Alighieri",2538
42,"The Century Vocabulary Builder","Creever & Bachelor","22720,20891,20430"
43,"Lister's Great Adventure","Harold Bindloss",239
44,"The Atlantic Monthly, Volume 10, Number 60, October 1862",Various,"20430,20430,20430,20430,1405,21071,23568,21477,20430,20430,1169"
45,"Plain Words From America","Douglas W. Johnson","21921,1405"
46,"The Atlantic Monthly, Volume 2, Number 9, July, 1858",Various,"236,273,236,236,234,236,234,273,273,236,273,234,236,234,273,273,273,273,273,273,273,273,273,273,273,273,273,236,21359"
47,"Mobilizing Woman-Power","Harriot Stanton Blatch","21921,21921,21921,21921,21921"
48,"The Hampstead Mystery","John R. Watson","7952,2576,2576,2576,2576,2576,2576,7952,7952,7952,7952,7952,2576,2576,2576,2576"
49,Kazan,"James Oliver Curwood","2492,2492,2492,19985,19985,19985,19985"
50,Thaumaturgia,"An Oxonian",474
51,"Peaceless Europe","Francesco Saverio Nitti","11893,11893,18445,11893,11893,11893,11893,11893"
52,"A Soldier of Virginia","Burton Egbert Stevenson","20321,20321,20321,20321,20321,20321,20321,20321,20321,20792,20792,20321,20321,20321,20321,20321,20321,20321,20321,20321"
53,"The Twilight of the Gods, and Other Tales","Richard Garnett",20078
54,"Hacker Crackdown","Bruce Sterling","21921,239,15664,239,22455,4045,22455,239,21921,21921,22455,239,21921,21921,14249,21921,20055,20908,22108,22455,4045,15664,239,21921,22419,21921,22705,21921,21921,21921,21921,239,2493,239,22728,239,239,239,21921,22516,239"
55,Byron,"John Nichol",2516
56,"Punchinello, Vol. 2., No. 32,  November 5, 1870",Various,21921
57,"The Unspeakable Gentleman","John P. Marquand",20430
58,"The Postmaster's Daughter","Louis Tracy","2899,19983"
59,"Boys and girls from Thackeray","Kate Dickinson Sweetser","20321,20321,2576,2576"
60,"Aunt Jane's Nieces and Uncle John","Edith Van Dyne","22455,239,22720,22746,22720,22720,22679,22720,22455,4045,4045,15645,4045,22455,22565,4045,22455,22565,4045,22455"
61,"Abducted to Oz","Bob Evans and Chris Dulabone","22724,22594,21538"
62,"John Wesley, Jr.","Dan B. Brummitt","22942,20681,19989,1601,22746,239,20357,1601,1601,22746,22746,1601,239"
63,"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",Various,"21651,144,1169,1169,1169,2515,1571"
64,"The Lure of the Dim Trails","by (AKA B. M. Sinclair) B. M. Bower","21825,21049,21825"
65,"A Discourse on the Life, Character and Writings of Gulian Crommelin","William Cullen Bryant","20000,20000"
66,"Reminiscences of Pioneer Days in St. Paul","Frank Moore","21643,22177,21537,22516,15516,21205,20430,1601,21921,20430,20430,20373"
67,"America's War for Humanity","Thomas Herbert Russell","21969,14249,20078,21740,2516,15135,2516,1405,21969,22565,22565,21071"
